"File","Ext","Lines"
"supabase\migrations\010_notifications_system.sql",".sql","118"
"supabase\migrations\011_add_phone_to_profiles.sql",".sql","8"
"supabase\migrations\012_storage_avatars.sql",".sql","29"
"supabase\migrations\013_profile_history.sql",".sql","120"
"supabase\migrations\014_fix_profile_policies.sql",".sql","20"
"supabase\migrations\015_fix_videos_policies.sql",".sql","63"
"supabase\migrations\016_setup_avatars_storage.sql",".sql","103"
"supabase\migrations\017_update_handle_new_user.sql",".sql","24"
"supabase\migrations\018_add_hubspot_contact_id.sql",".sql","49"
"supabase\migrations\020_analytics_events.sql",".sql","52"
"supabase\migrations\021_add_pitch_video_url.sql",".sql","8"
"supabase\migrations\022_user_devices.sql",".sql","45"
"supabase\migrations\023_fix_chat_realtime.sql",".sql","63"
"supabase\migrations\024_fix_rls_recursion.sql",".sql","65"
"supabase\migrations\025_nuclear_fix_rls.sql",".sql","79"
"supabase\migrations\025_push_subscriptions.sql",".sql","49"
"supabase\migrations\026_banners_rls.sql",".sql","70"
"supabase\migrations\026_fix_profiles_rls.sql",".sql","54"
"supabase\migrations\027_app_settings.sql",".sql","76"
"supabase\migrations\027_nuclear_fix_profiles_rls.sql",".sql","64"
"supabase\migrations\028_enable_messages_realtime.sql",".sql","132"
"supabase\migrations\029_admin_chat_permissions.sql",".sql","152"
"supabase\migrations\030_fix_admin_role_detection.sql",".sql","20"
"supabase\migrations\031_fix_analytics_rls_case_sensitive.sql",".sql","20"
"supabase\migrations\032_business_core.sql",".sql","244"
"supabase\migrations\033_fix_notifications_insert.sql",".sql","24"
"supabase\migrations\033_prosperus_tools.sql",".sql","184"
"supabase\migrations\034_admin_roi_audit.sql",".sql","308"
"supabase\migrations\035_benefit_analytics.sql",".sql","191"
"supabase\migrations\036_user_favorites.sql",".sql","36"
"supabase\migrations\037_notification_scheduling.sql",".sql","23"
"supabase\migrations\038_favorites_add_gallery.sql",".sql","12"
"supabase\migrations\039_video_categories.sql",".sql","24"
"supabase\migrations\040_admin_update_profiles_rls.sql",".sql","38"
"supabase\migrations\041_fix_conversation_participant_insert.sql",".sql","25"
"supabase\migrations\042_members_see_only_members.sql",".sql","53"
"supabase\migrations\043_add_is_active_to_profiles.sql",".sql","39"
"supabase\migrations\044_add_platform_to_videos.sql",".sql","17"
"supabase\migrations\045_exclude_admin_from_rankings.sql",".sql","35"
"supabase\migrations\046_user_block_system.sql",".sql","58"
"supabase\migrations\047_chat_rls_definitive.sql",".sql","123"
"supabase\migrations\048_gallery_rls_fix.sql",".sql","37"
"supabase\migrations\049_increment_article_views.sql",".sql","15"
"supabase\migrations\050_rsvp_events.sql",".sql","82"
"supabase\migrations\050_terms_acceptance.sql",".sql","7"
"supabase\migrations\051_custom_interest.sql",".sql","5"
"supabase\migrations\051_push_on_new_message.sql",".sql","78"
"supabase\migrations\052_fix_messages_update_rls.sql",".sql","26"
"supabase\migrations\053_notification_type_column.sql",".sql","9"
"supabase\migrations\054_strategic_profile_columns.sql",".sql","16"
"supabase\migrations\055_add_contested_referral_status.sql",".sql","5"
"supabase\migrations\056_analytics_rpcs.sql",".sql","345"
"supabase\migrations\057_business_bi_rpcs.sql",".sql","289"
"supabase\migrations\058_member_files.sql",".sql","142"
"supabase\migrations\059_member_last_activity.sql",".sql","24"
"supabase\migrations\060_daily_access_metrics.sql",".sql","45"
"supabase\migrations\061_video_materials.sql",".sql","53"
"supabase\migrations\062_user_activity_detail.sql",".sql","112"
"supabase\migrations\063_storage_prosperus_files.sql",".sql","31"
"supabase\migrations\064_video_materials_links.sql",".sql","20"
"supabase\migrations\065_analytics_excluded_users.sql",".sql","407"
"supabase\migrations\066_section_click_analytics.sql",".sql","85"
"supabase\migrations\067_exclude_users_all_rpcs.sql",".sql","401"
"supabase\migrations\068_members_active_days_rpc.sql",".sql","25"
"supabase\migrations\069_admin_audit_log.sql",".sql","42"
"supabase\migrations\070_expand_profile_roles.sql",".sql","11"
"supabase\migrations\071_cleanup_chat_notifications.sql",".sql","7"
"supabase\migrations\072_rsvp_tickets_qrcode.sql",".sql","8"
"supabase\migrations\073_event_tickets_v2.sql",".sql","84"
"supabase\migrations\074_fix_push_subscriptions_rls.sql",".sql","42"
"supabase\migrations\075_add_birth_date_to_profiles.sql",".sql","7"
"supabase\migrations\076_update_handle_new_user_birth_date.sql",".sql","21"
"supabase\migrations\077_birthday_cards.sql",".sql","89"
"supabase\migrations\078_add_lesson_ordering.sql",".sql","34"
"supabase\migrations\079_add_category_icon.sql",".sql","53"
"supabase\migrations\080_birthday_two_way_sync.sql",".sql","22"
"supabase\migrations\20260331_add_benefit_rejection_reason.sql",".sql","7"
"supabase\migrations\20260331_add_benefit_status.sql",".sql","32"
"supabase\migrations\20260331_add_reports_rls.sql",".sql","35"
"supabase\migrations\20260331_create_member_reports.sql",".sql","42"
"supabase\migrations\20260331_fix_admin_rls.sql",".sql","18"
"supabase\queries\check_profile_policies.sql",".sql","39"
"supabase\queries\check_videos_policies.sql",".sql","54"
"supabase\queries\diagnose_profile_loading.sql",".sql","33"
"supabase\queries\diagnose_rls.sql",".sql","33"
"supabase\scripts\ETAPA_1_adicionar_enum.sql",".sql","13"
"supabase\scripts\ETAPA_2_atualizar_dados.sql",".sql","19"
"supabase\scripts\fix-enum-complete.sql",".sql","29"
"supabase\scripts\migration-update-roles.sql",".sql","25"
"supabase\scripts\seed-admin.sql",".sql","36"
"supabase\scripts\seed-admin.ts",".ts","113"
"supabase\scripts\SQL_CONSOLIDADO_REFERENCIA.sql",".sql","113"
"supabase\scripts\verificar-galeria.sql",".sql","42"
"supabase\schema.sql",".sql","212"
"tests\components\OfflineBanner.test.tsx",".tsx","27"
"tests\hooks\useOnlineStatus.test.ts",".ts","59"
"tests\mocks\supabase.ts",".ts","61"
"tests\services\bannerService.test.ts",".ts","237"
"tests\services\exportService.test.ts",".ts","167"
"tests\services\favoriteService.test.ts",".ts","156"
"tests\services\notificationService.test.ts",".ts","198"
"tests\services\offlineStorage.test.ts",".ts","43"
"tests\services\profileService.test.ts",".ts","181"
"tests\services\rsvpService.test.ts",".ts","134"
"tests\services\searchService.test.ts",".ts","118"
"tests\utils\matchEngine.test.ts",".ts","155"
"tests\sanity.test.ts",".ts","6"
"tests\setup.ts",".ts","36"
"utils\calendarUtils.tsx",".tsx","134"
"utils\clearSupabaseCache.js",".js","29"
"utils\copy.ts",".ts","37"
"utils\designTokens.ts",".ts","31"
"utils\imageUpload.ts",".ts","81"
"utils\imageUtils.ts",".ts","10"
"utils\installInstructions.ts",".ts","90"
"utils\isAbortError.ts",".ts","23"
"utils\logger.ts",".ts","28"
"utils\matchEngine.ts",".ts","155"
"utils\platformDetect.ts",".ts","47"
"utils\profileUtils.ts",".ts","97"
"utils\pushNotifications.ts",".ts","171"
"utils\queryKeys.ts",".ts","36"
"utils\theme.ts",".ts","16"
"utils\toast.ts",".ts","47"
